"","","Father A. Buch","","","GeMo2491834823E","GeMo2491827840L"
"6-1-2004","6-30-2004","Not published","","","7263177","2324045"
"8/1/2000","","G.E. Morse","","","Loc.1932L","Loc.1932L"
"12-10-2003","","B. Garcete","","","7260397","2322425"
"2/21/2000","","G.E. Morse","","","2332","2332"
"6/29/2013","","G.E. Morse & E. Lindsay","","","7264758","2325357"
"3/28/1998","","G.E. Morse","","","142","142"
"9-15-2001","","G.E. Morse","","","1962","1962"
"","","D.H. Janzen","","","Loc.8715L","Loc.8715L"
"6-9-1998","","G.E. Morse","","","2057","2057"
"10/8/1996","","G.E. Morse","","","6010","6010"
"3-16-1999","","G.E. Morse","","","2262","2262"
"3-25-1992","4-21-1992","Gutierrez, A.","","","Loc.1977L","Loc.1977L"
"5-1-1978","","D.H. Janzen","","","7262251","Loc.2905L"
"3/14/2001","","G.E. Morse","","","2515","2515"
"8/2/2000","","G.E. Morse","","","Loc.1949L","Loc.1949L"
"3/9/2001","","G.E. Morse","","","2482","2482"
"7/29/2000","","G.E. Morse","","","2456","2456"
"8-1-1907","8-31-1907","Blaisdell, F.E.","","","7260773","Loc.10741L"
"3/23/2000","","G.E. Morse","dry river bed","","2401","2401"
"3/7/2000","","G.E. Morse","","","2363","2363"
"3/11/2000","","G.E. Morse","","","2370","2370"
"8-14-2004","","G.E. Morse","south-facing, heavily grazed grassy slope","","7261373","2323017"
"5/15/2009","","M. Polihronakis","","","7263252","2324424"
"5/27/2010","","G.E. Morse, M.J. Wojciechowski, & T.G. Piraneo","","","7263492","2324569"
"3/24/1998","","G.E. Morse","","","147","147"
"3/25/2000","","G.E. Morse","","","2421","2421"
"6-1-2002","6-30-2002","Delobel, A.","","","7260833","2322717"
"6-16-1998","","G.E. Morse","","","2095","2095"
"8/5/2009","","G.E. Morse","","","7263266","2324437"
"","","Champion","","","7261556","2323126"
"1-18-1949","","Intercepted at Washington D.C.","","","7262748","1044"
"5/26/2010","","G.E. Morse, M.J. Wojciechowski, & T.G. Piraneo","","","7263486","2324563"
"7/15/2011","","G.E. Morse","Desert Scrub","","7263841","2324807"
"6-14-2015","","G.E. Morse","sandy, gravelly soil","","7266571","2326243"
"3-5-1998","","G.E. Morse","","","2014","2014"
"6-12-1998","","G.E. Morse","","","2079","2079"
"","","Champion","","","Loc.18011L","Loc.18011L"
"10-19-1998","","G.E. Morse","","","2119","2119"
"6/4/2010","","G.E. Morse, B. Curran, T.G. Piraneo, T.M. VanGerpen","","","7263508","2324583"
"5/15/2009","","M. Polihronakis","","","7263250","2324422"
"7/21/2019","","G.E. Morse & M. Krivit","","","GeMo1972326912E","GeMo1972323336L"
"6-22-2014","","G.E. Morse","Light, sandy soil on west-facing slope","","7265744","2325831"
"","","J. Bosq","","","Loc.16546L","Loc.16546L"
"3-28-1992","4-24-1992","Reyes, M.","","","7261062","2322867"
"6-1-2001","6-30-2001","Delobel, A.","","","7260844","2322725"
"6-5-1998","","G.E. Morse","","","1988","1988"
"7/18/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","Coastal sage scrub, steep E-facing slope and disturbed areas of roadside w/ Artemisia californica, Encelia californica, Baccharis pilularis, Malosma laurina, Juglans californica","","7268319","2327368"
"7/27/2010","","G.E. Morse","in juniper-yucca community, Calochortus kennedyi common, on N-facing sloper in light-brown (tan) granitic-derived soil. ","","7263527","2324573"
"7/15/2011","","G.E. Morse","Sand dune","","7263846","2324812"
"8-13-2014","8-27-2014","","","","GeMo2212131532E","GeMo2211926737L"
"7-12-1993","","Sikes, D. and R. Rosenfeld","","","5261265","2324321"
"2-13-1999","","G.E. Morse","","","2171","2171"
"","","G.C. Champion","","","Loc.17863L","Loc.17863L"
"8/1/2000","","G.E. Morse","","","Loc.1962L","Loc.1962L"
"3/10/2001","","G.E. Morse","","","2493","2493"
"4-6-1950","","Plant quarantine","","","7776","7776"
"6-3-2010","","G.E. Morse, T.G. Piraneo, & T.M. VanGerpen","","","7263506","2324581"
"8/5/2009","","G.E. Morse","","","7263268","2324438"
"3/4/2000","","G.E. Morse","","","2352","2352"
"2/2/2007","","Intercepted at quarantine","","","GeMo254235409E","GeMo2311726965L"
"10/9/1996","","G.E. Morse","","","6017","6017"
"8-3-2010","","G.E. Morse, B. Curran, T.G. Piraneo, T.M. VanGerpen","","","7263546","2324607"
"9-21-1996","","Kingsolver, J.","","","7260572","7681"
"7-30-2014","8-13-2014","","","","GeMo22112931525E","GeMo2211926737L"
"2-23-2012","","USDA Plant Quarantine, Atlanta GA","","","GeMo2391933543E","GeMo232227048L"
"3-6-1973","","C.D. Johnson","","","Loc.4151L","Loc.4151L"
"7/31/2000","","G.E. Morse","","","Loc.1931L","Loc.1931L"
"7/18/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","","","7268324","2327373"
"7/10/2020","","G.E. Morse","","","GeMo2071227645E","GeMo206823808L"
"8-14-2004","","G.E. Morse","grassy hillside","","7261377","2323021"
"7/20/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","Chaparral with moist area near a stream","","7268347","2327393"
"2/26/1976","","D.H. Janzen","","","7264959","2325440"
"12/30/1999","","G.E. Morse","","","2329","2329"
"8/3/2000","","G.E. Morse","","","Loc.1947L","Loc.1947L"
"2-6-2019","","USDA Plant Quarantine, Atlanta GA","","","GeMo239833231E","GeMo232227049L"
"","","Delobel et al","","","Loc.9437L","Loc.9437L"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/1/2011","","O. Gavira Romero","","","E_YRBSEA49_13","YRBSEA49_7"
"6/3/2022","","G.E. Morse, G. Eggemeyer, A. Huerta, V. Olson","","","GeMo226731041E","GeMo226726508L"
"10/9/1996","","G.E. Morse","","","6014","6014"
"8/2/2010","","G.E. Morse, B. Curran, T.M. VanGerpen","","","7263535","2324601"
"8-11-2004","","G.E. Morse","","","7261369","2323013"
"7/18/2011","","G.E. Morse","Granitic sand in pinyon and sagebrush","","7263864","2324829"
"6/29/2013","","G.E. Morse & E. Lindsay","","","7264751","2325351"
"2-5-1999","","G.E. Morse","","","2150","2150"
"2-9-1999","","G.E. Morse","","","2162","2162"
