"Venezuela","Maracay","","Rancho Grande","","","","","","","Loc.1989L"
"Mexico","Durango","","Francisco Madero","","","","","","","Loc.1991L"
"Mexico","Baja California","","Isla Angel de la Guarda, Puerto Refugio, Golfo de California","","","","","","","Loc.1993L"
"Honduras","Comayagua","","Comayagua, 13 mi SW ","549 ","","","","","","Loc.1994L"
"Panama","Panamá","","Gamboa, 1 km NE ","","","","","","","Loc.1995L"
"Panama","Panamá","","Tocumen, 14 km E ","","","","","","","Loc.1996L"
"Brazil","Ceara","","Fortaleza","","","","","","","Loc.1997L"
"Colombia","Tolima","","Honda","","","","","","","Loc.1998L"
"Colombia","Cundinamarca","","Girardot","","","","","","","Loc.1999L"
"Colombia","","","Santa Marta","","","","","","","Loc.2001L"
"Costa Rica","Guanacaste","","Finca Jenny, 30 km N Liberia, P.N. Guanacaste","","","","","","","Loc.2002L"
"Mexico","Yucatán","","Tixkokob","","","","","","","Loc.2004L"
"Panama","Panamá","","Gamboa, 2 mi SSE ","","9.1","-79.7","unknown","unknown","Label","Loc.2005L"
"Panama","Panamá","","Coco Solo Hospital","","","","","","","Loc.2006L"
"Panama","Panamá","","Paraiso","","","","","","","Loc.2007L"
"Panama","Chiriquí","","Puerto Armuelles","","","","","","","Loc.2008L"
"Panama","Chiriquí","","Puerto Armuelles","","","","","","","Loc.2009L"
"Venezuela","Bolivár","","Ciudad Bolivar","","","","","","","Loc.2010L"
"Mexico","Guerrero","","Veintidos, 2-8 km W 95 on 200 ","","","","","","","Loc.2011L"
"Panama","Panamá","","Summit Gardens, 3 km N ","","","","","","","Loc.2012L"
"Panama","Panamá","","Las Sabanas, Panama City","","","","","","","Loc.2013L"
"Mexico","México","","Ixtapan, 4.3 mi NE ","","","","","","","Loc.2014L"
"Mexico","Sonora","","Moctezuma, 55 km SW ","1066 ","","","","","","Loc.2015L"
"Mexico","Sinaloa","","La Capilla de Taxte, 14 km N ","","","","","","","Loc.2016L"
"Mexico","Durango","","Guadalupe Victoria, 8 mi NE ","","","","","","","Loc.2017L"
"Mexico","Baja California Sur","","Santa Anita, 9.2 mi N ","","","","","","","Loc.2018L"
"Mexico","Coahuila","","Guerrero","","","","","","","Loc.2019L"
"Mexico","Guanajuato","","Guanajuato","","","","","","","Loc.2020L"
"Mexico","Nuevo León","","Salinas Victoria, 2 mi SE ","","","","","","","Loc.2021L"
"Mexico","Querétaro","","7 mi N. Querétaro","1950 ","20.467","-100.033","","","","Loc.2022L"
"Mexico","Sinaloa","","Mazatlán, 13 mi N. ","","","","","","","Loc.2024L"
"Mexico","Sinaloa","","Guamuchil, 30 mi. S ","","","","","","","Loc.2025L"
"Mexico","Sinaloa","","Mazatlán, 9 mi. N.  Near beach","","","","","","","Loc.2026L"
